# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Metzgerei Hans Discher, Inh. Reinhard Bauer;Hauptstraße 36;35767 Medenbach;;HE 20265;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Hartwig;Zur Marbeck 6;34497 Korbach;;HE 30113;;;;;P;P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Helmut Koch;Mühlenweg 1;35080 Bad Endbach;;HE 20178;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Henrici GmbH Co. KG;Saalburgstraße 2;61267 Neu-Anspach;;HE 10162;;;;;B, P;B, P;;;R;R;;;;B, P, A, R;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Hensel, Inhaber Albrecht Hensel;Wolferborner Straße 12;63607 Wächtersbach;;HE 10347;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Hiller GmbH, Geschäftsführer Christina Zimmermann und Friedrich Hiller;Weißkircher Straße 1;63110 Rodgau;;HE 10362;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Hoos GmbH;Södeler Straße 27;61200 Wölfersheim;;HE 10401;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Horst Bernhardt;Buchholzstraße 7;35116 Hatzfeld (Eder);;HE 30270;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Gimpel-Jäckel;Volkmannplatz 2;34628 Willingshausen;;HE 30294;;;;;B, P;B, P;;;;;wU;wU;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Jochen Müller;Jakob-Maul-Straße 1;64732 Bad König;;HE 10408;;;;;B, O, P, C;B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Jürgen und Uwe Vatter, GbR, Gesellschafter Jürgen und Uwe Vatter;Rheinstraße 9;64560 Riedstadt;;HE 10316;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Karl August Bender;Obertorstraße 12-20;35410 Hungen;;HE 20159;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Karl Becker GmbH;Hauptstraße 6;35614 Aßlar;;HE 20221;;;;;B, O, P;B, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Karl Rückert, Inhaber Thomas Rückert;Am Bahnhof 8;35260 Stadtallendorf;;HE 20182;;;;;B, O, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Karl Velte;Bahnhofstraße 1;35216 Biedenkopf;;HE 20113;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Klaus Press;Frankfurter Straße 11;65439 Flörsheim;;HE 10283;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Klaus Weyrauch;Große Gasse 5;64720 Michelstadt;;HE 10317;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Köhler GmbH;k.a. 0;36137 Großenlüder;;HE 30224;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Kratz, Björn Ruppenthal;Unterdorf 6;35325 Mücke;;HE 20220;;;;;B, O, P;;;;;fG;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Kropp GbR, Geschäftsführer Daniel Kropp;Bleichstraße 32;61137 Schöneck;;HE 10338;;;;;B, O, P, C;;;A;;;wL, wU, wG, wA;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Kunz GbR;Bleichstraße 29;35390 Gießen;;HE 20285;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Langhans, Inhaber Manfred Langhans;Kreuzgasse 8;35789 Weilmünster;;HE 20237;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Lölkes;Oberaspherstraße 16;35117 Münchhausen;;HE 20183;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
