# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
BW;Nestlé Deutschland AG, Maggi-Werk Singen;Julius-Bührer-Straße 8;78224 Singen (Hohentwiel);EV 78, BW-EV 8-304; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Nothwang GmbH & Co.;Postfach 1253;74174 Bad Friedrichshall;EZ 1113, EV 1113; ;;;;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Okle GmbH Großhandelszentrale;Hochwaldstraße 1-7;78224 Singen (Hohentwiel);BW-EUZ 311, EZ 1783, EV 1783; ;;;X;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Otto Haug GmbH Frischfleisch-Center;Franz-Wachter-Straße 19;70188 Stuttgart;BW-EZ 106; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Özugul Döner und Fleisch GmbH;Von-Pistorius-Straße 10;70188 Stuttgart;BW-EZ 114; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Pizza Lorenzo GmbH;Falltorstraße 8-10;76707 Hambrücken;BW-EUZ 235, BW-EV 235; ;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Reinhard Liebe;Eichgartenstraße 16;72768 Reutlingen;EZG 205; ;;;;;;;;A, L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rudolf Scharer GmbH & Co.KG;Lindenstraße 27;73479 Ellwangen (Jagst);BW-EZK 101, BW-EW 101, BW-EZ 119, BW-EZG 101; ;;;;;;S, B, C, O, P;;A, L;;;wU, wG, wA, wL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schäfer Hohenloher Fleisch & Wurst GmbH & Co. KG;Muthoferstraße 10;74670 Forchtenberg;;BW 01160;;X;;;B, P, O;B, P, O;;;;;;;;A, B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Alfons Müller;Müllener-Straße 2;77704 Oberkirch;BW-EV 301; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Haller, Inhaber: W. Schmidt;Austraße 55;78056 Villingen-Schwenningen;BW-EV 302; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schinkenhof GmbH & Co. KG;Severinstraße 12;77855 Achern;BW-EUZ 330, EZ 1549, EV 1549, EV 1549; ;;;X;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Japan(VI,PP);
BW;Schlachtbetrieb Max Holwegler;Felix-Wankel-Straße 1;78166 Donaueschingen;ES 1799; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schlächterei Huber GmbH;Wengertstraße 7;74626 Bretzfeld;EZ 852; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schlachthof Betriebs GmbH der Firma Färber;Schlachthausstraße 15;78050 Villingen-Schwenningen;ES 183; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schlachthof Bühl GmbH;Industriestraße 30;77815 Bühl;ES 1156; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schlachthof Lörrach GmbH;Schlachthofstraße 1;79540 Lörrach;ES 240; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schlachthof Singen GmbH & Co. KG;Gottlieb-Daimler-Straße 4;78224 Singen (Hohentwiel);ES 974; ;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schlachthofmetzgerei Rudolf Schmidgall;Am Römerbad 25;74613 Öhringen;ES 1673, EZ 1671; ;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schradi GmbH;Heinrich-Lanz-Straße 32;68165 Mannheim;BW-EZ 211, BW-EV 211; ;;;;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schwarzwaldhof Fleischwaren GmbH;Waldshuterstraße 37;78176 Blumberg;BW-EUZ 320, EZ 364, EV 52; ;;;X;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Siegfried Spinner GmbH;Okenstraße 279;77652 Offenburg;EV 1766; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Stirner-Sinn GmbH;Querstraße 5;70839 Gerlingen;EZ 1286, EV 1286; ;;;;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Streckfuß Naturdarm GmbH, Naturdärme Import/Export;Im oberen Tal 4;74858 Aglasterhausen;EV 11-091 C; ;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
BW;Tannenhof Schwarzwälder Fleischwaren;Gewerbestraße 4;78078 Niedereschach;EV 929; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Theisen Fleischgroßhandels GmbH;Schlachthofstraße 21;68165 Mannheim;BW-EZ 208; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;TRANSTHERMOS GmbH;Heinkelstraße 7;76461 Muggensturm;EK 883; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Ulmer Fleisch Schlacht- und Zerlegebetriebe GmbH;Steinbeisstraße 17;89079 Ulm;EZ 738, EZ 315, EZ 346, ES 101; ;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;W. u. K . Buchter GmbH Fleisch- und Wurstwaren;Eichetstraße 2;76456 Kuppenheim;BW-EUZ 220, BW-EZ 220, BW-EZG 220, BW-EV 220; ;;;X;;;S, B, C, O, P;;A, L;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Walser + Schwaderer GmbH;Mariataler Straße 26;88214 Ravensburg;BW-EZ 408, BW-EV 408; ;;;;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Werner Werz;Hardtstraße 98-100;69124 Heidelberg;EV 1797; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Wolfgang Schäl;Klingenberger Straße 4;74223 Flein;BW-EV 107; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Xaver Schwarz GmbH & Co. KG;Liebertsreuterstraße 16;88699 Frickingen;EV 972; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Ziegenhof Ensmad GbR Maria Ehrlich und Steffen Rübeling;Ensmad 2;88515 Langenenslingen;BW 489; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Arla Foods Käsereien GmbH;Wangener Straße 42;88353 Kißlegg;BW 322; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Allgäuland Käsereien GmbH;Rappstraße 21;72070 Tübingen;BW 046; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Andreas Deyer;Alt-Schorenhof 1;78357 Mühlingen;BW 481; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Anke Morlock;Kuchentalweg 5;75203 Königsbach-Stein;BW 526; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Babacan;Vaihinger Straße 46;74343 Sachsenheim;BW 428; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Bauernhof-Eis - Marliese Schmidt;Riedweg 1;74177 Bad Friedrichshall;BW 522; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Bergpracht Milchwerk;Siggenweiler 1;88069 Tettnang;BW 077; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Bittenfelder Hofkäse;Römerstraße 36;71336 Waiblingen;BW 466; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Brauereihof Egolf;Hintere Klinge 1;74850 Schefflenz;BW 524; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BW;Schwarzwaldmilch GmbH Freiburg;Haslacher Straße 12;79115 Freiburg im Breisgau;BW 376; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Rudolf Achenbach GmbH & Co. KG;Hauptstraße 106;65843 Sulzbach (Taunus);EV 96, EV 96; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Japan(VI,PP);
HE;Rügenwalder Spezialitäten Plüntsch GmbH & Co. KG;Am Ankenberg 4;34454 Bad Arolsen;HE-EV 009; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schiller Fleisch GmbH;Am Stock 10;61118 Bad Vilbel;EZ 1432; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachthof Fulda GmbH;Kruppstraße 6;36041 Fulda;ES 24; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schüssler Spedition GmbH;Odenwaldstraße 4;64646 Heppenheim (Bergstraße);HE-EK 225; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;TSP-Frischfleisch GmbH;Werner-Heisenberg-Straße 19;34123 Kassel;EZ 1732; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;EUROCOOL LOGISTICS Warehousing and Distribution GmbH;Von-Humboldt-Straße 10;64646 Heppenheim (Bergstraße);HE-EK 214; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Verarbeitungs- und Fleischhandels GmbH H. von der Assen;Wernher-von-Braun-Straße 1;63263 Neu-Isenburg;EW 15; ;;;;;;;;;;;wU, wG, wA, wL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;VION Frankfurt GmbH;Carl-Benz-Straße 16;60386 Frankfurt am Main;EZ 249; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Waldecker Fleischwaren Heinrich Saure GmbH;Auf der Höhe 7;34508 Willingen (Upland);EZ 837, EV 837; ;;;;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Wilhelm Schneider GmbH Fleischgroßhandel;Carl-Benz-Straße 16;60386 Frankfurt am Main;EZ 1654; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Willi Reitbauer;Bahnhofstraße 12;64739 Höchst i. Odw.;HE-ES 211; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Wurst- und Fleischcenter Rembser;Peter-Sander-Straße 9;55252 Wiesbaden;EZ 1371, EV 1371; ;;;;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Alter West Eiskrem AG;Bleichenbacher Straße 2;63683 Ortenberg;HE 041; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;CALIDAD; ;00000 Frankenberg / Eder;HE 047; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Desietra GmbH;Kruppstraße 5;36041 Fulda;HE-EFB 028; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HE;FrischeParadies KG;Lärchenstraße 101;65933 Frankfurt am Main;HE-EFB 005; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HE;Elmar Möcklinghoff;Papiermühle 1;34369 Hofgeismar;HE 017; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Gutsmolkerei Selgenhof, Frühauf GbR;Domäne Selgenhof 1;35327 Ulrichstein;HE 055; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Hochwald Foods GmbH - Werk Hungen;Mohastraße 1;35410 Hungen;HE 007; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Heinz & Jan Trumpfheller GbR;Am Schloßberg 11;64743 Beerfelden;HE 052; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Jacobi Pharma-Service GmbH & Co. KG;Benzstraße 8;64646 Heppenheim (Bergstraße);;HE 11403;;;;;;;;;;;;;;;;;;;;;X;;;;;B, C, O, S;;;;;;;;;;;;;;;;;;
HE;Odenwalder Kochkäserei,I Inh. Frank Rettig;Lauten-Weschnitzer Strasse 11;64658 Fürth;HE 030; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Käserei H. Birkenstock GmbH;Werrastraße 6;35625 Hüttenberg;HE 036; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Käserei Ludwig Schmitt;Hauptstraße 56;69509 Mörlenbach;HE 029; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Kraft plus Fitness Sporternährung Roland Gerard GmbH;Otto-Hahn-Straße 17;68623 Lampertheim;HE 045; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Lebensgemeinschaft Bingenheim, Quellenhof;Schlossstraße 9;61209 Echzell;HE 051; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Margot Palmen-Althaus, Dieter Althaus;Völzberger Straße 14;63633 Birstein;HE 033; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;METRO SB-Großmärkte GmbH & Co. KG;Siemensstraße 7;35440 Linden;HE-EFU 012; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Milchschafbetrieb Heegenhof;Vor dem Heegen 1;37217 Witzenhausen;HE 049; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Molkerei Sachsenberg;Orker Straße 19;35104 Lichtenfels;HE 020; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Peter Vogel;Knesheckenweg 5;36160 Dipperz;HE 054; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Schwälbchen Molkerei - Jakob Berz AG;Bahnhofstraße 38;65307 Bad Schwalbach;HE 013; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;SSP Trade Consult GmbH;Waldstraße 23;63128 Dietzenbach;HE-EFU 020; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Unilever Deutschland GmbH & Co. OHG;Langnesestraße 1;64646 Heppenheim (Bergstraße);HE 040; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Fischzucht Rhönforelle, Inh.: Helmut Groß;Kirchring 2;36093 Künzell;HE-EFB 022; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HE;Fischzuchtbetrieb Hermann Rameil oHG;Pipprichsweg 7;34560 Fritzlar;HE-EFB 021; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HE;Variopack GmbH;Kolberger Straße 15;63667 Nidda;HE 016; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HH;Caspian Caviar Ardabili GmbH;Humboldtstraße 35;22083 Hamburg;HH-EFB 007; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Dafgard GmbH & Co. KG;Hohe Bleichen 11;20354 Hamburg;HH-EFU 103; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HH;Dieckmann & Hansen Caviar;Große Elbstraße 210;22767 Hamburg;HH-EFB 003; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Fischgroßhandel Lucia Schumann;Große Elbstraße 133;22767 Hamburg;HH-EFB 020; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Fr. Pedersen GmbH;Große Elbstraße 152;22767 Hamburg;HH-EFB 032; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Gottfried Friedrichs KG;Hermann-Wüsthof-Ring 7;21035 Hamburg;HH-EFU 109; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HH;Karl Niehusen;Große Elbstraße 158;22767 Hamburg;HH-EFB 031; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Agraprodukt GmbH & Co. KG; ;00000 Hamburg;HH-EP 006; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
HH;Krahl & Freudenthal;Große Elbstraße 133;22767 Hamburg;HH-EFB 026; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Kutterfisch-Großhandels eG;Große Elbstraße 133;22767 Hamburg;HH-EFB 027; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Neue DREWS Feinkost GmbH;Große Elbstraße 277;22767 Hamburg;HH-EFB 018; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Reineckes Delikatess-Konserven;Friesenweg 4;22763 Hamburg;HH-EFU 107; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HH;Wilhelm Goedeken GmbH;Große Elbstraße 141;22767 Hamburg;HH-EFB 023; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HH;Wolff & Olsen GmbH & Co. KG;Schnackenburgallee 52;22525 Hamburg;HH-EP 005; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
MV;Berschneider GmbH Fleischspezialitäten-Produktion;Am Heisterbusch 12;19246 Lüttow-Valluhn;MV-EUZ 001, EV 1279; ;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Block Menü GmbH;Ernst-Litfaß-Straße 1;19246 Zarrentin am Schaalsee;EV 1399; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Danish Crown GmbH Boizenburg;Gülzer Straße 8;19258 Boizenburg/ Elbe;MV-EZ 202; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Die Rostocker Wurst- und Schinkenspezialitäten GmbH;Erlensumpfstraße 1;18147 Rostock;EZ 1466, EV 1466; ;;;X;;;B, P;;;;;wA, wL, wU, wG;;B, P;B, P, wG, wU, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Dr. Oetker Tiefkühlprodukte GmbH Wittenburg;Südring 1;19243 Wittenburg;EV 830, EV 830, EV 830; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Canada(VI,PP)United States(VI,PP);
MV;Forschungsinstitut für die Biologie landwirtschaftlicher Nutztiere;Wilhelm-Stahl-Allee 2;18196 Dummerstorf;ES 1635, EZ 1635; ;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Greifen-Fleisch GmbH;Wolgaster Straße 114;17489 Greifswald;EV 1360; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Günter Puttkammer Fleischwaren - Spezialitäten GmbH;Industriestraße 2;19205 Gadebusch;EV 1003; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Teterower Fleisch GmbH;Koppelbergstraße 2;17166 Teterow;EV 11-082 C; ;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
MV;Kraftverkehr Nagel GmbH & Co. KG;Gewerbestraße 23;18299 Laage;EK 1186; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Landesforst Mecklenburg-Vorpommern, Anstalt des öffentlichen Rechts, Forstamt Schildfeld - Bereich Wildbearbeitung -;Forsthof 1;19260 Vellahn;MV-EW 004; ;;;;;;;;;;;wU, wG, wA, wL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;LFW Ludwigsluster Fleisch- und Wurstspezialitäten GmbH & Co. KG;Bauernallee 9;19288 Ludwigslust;EZ 1023, EV 1023, EV 1023; ;;;;;;B, O, P;;A;;;;wA, wL, wU, wG;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Canada(VI,PP);
MV;Mecklenburger Fisch-Feinkost GmbH;Wölzower Weg 25;19243 Wittenburg;MV-EV 309, MV-EFB 022; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Mecklenburger Wurstspezialitäten GmbH & Co. KG;Gewerbering 1;19386 Lübz;EV 944, EV 944; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Japan(VI,PP);
MV;Müritz-Wild Axel Holst;Specker Straße 9;17192 Waren (Müritz);MV-EW 005, MV-EV 303; ;;;;;;;;;;;wU, wG, wA, wL;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Pommersche Fleisch- und Wurstwaren GmbH;Friedenstraße 9;17309 Pasewalk;EV 734; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;RFH Rostocker Fracht- und Fischereihafen GmbH;Fischerweg 408;18069 Rostock;EK 1353; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;S & G Gefrier- und Lagerhaus GmbH;Handelsstraße 2;18069 Rostock;EK 743; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Schlachthof Parchim GmbH;Schweriner Straße 55;19370 Parchim;ES 1579; ;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;SFD Lebensmittel-Vertriebs GmbH;Hafenstraße 30;18439 Stralsund;EK 1526; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Spindler Wildbearbeitung;Bahnhofstraße 123;19230 Hagenow;MV-EW 002; ;;;;;;;;;;;wU, wG, wA, wL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Teterower Fleisch GmbH;Koppelbergstraße 2;17166 Teterow;ES 773, EZ 773; ;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;TRENDFOOD GmbH - Betriebsteil Fleischmarkt;Rothemühler Straße 5;17335 Strasburg (Mecklenburg-Vorpommern);EV 1370; ;;;;;;;;;;;wA, wL, wU, wG;wA, wL, wU, wG;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;VION Anklam GmbH;An der Redoute 1;17390 Relzow;ES 933, EZ 933; ;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Wiebelitz Fleisch e. K.;Am Twäschenberg 2;23936 Upahl;MV-EZ 201; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Birnbaum & Kruse GbR;Ziesegrund 7;17440 Hohendorf;MV-EFB 006; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Danone GmbH;Parkstraße 25;19230 Hagenow;MV 001; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
MV;Eisbär Eis-Produktions GmbH;Westring 1;18320 Ahrenshagen-Daskow;MV 032; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
MV;Euro-Baltic Fischverarbeitungs GmbH;Spülfeld II 1;18546 Sassnitz;MV-EFB 003; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Fischereigenossenschaft Peenemündung e.G.;Dorfstraße 29;17440 Kröslin;MV-EFB 004; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Fischereigenossenschaft e. G. Leuchtfeuer;Dampferweg 1;18586 Thiessow;MV-EFB 017; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Fischereigenossenschaft e.G. Mönchgut;Am Hafen 1;18586 Gager;MV-EFU 003; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;Friedrichs Mecklenburg GmbH & Co. KG;Ernst-Alban-Straße 13;17192 Waren (Müritz);MV-EFB 001; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Gutshof-Ei Banzkow GmbH;Hamburger Frachtweg 8;19079 Banzkow;MV-EP 005; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
