Script,OFF Taxonomy,FR,EU,url,Date
Yes,XI - Production Escargots,Liste des établissements disposant d'une dérogation à l'agrément communautaire Escargot,Exempted establishments from EU approval agreement-snails,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRESC_VAL2.pdf,10/10/15
Yes,XI - Production Escargots,Liste des établissements disposant d'une dérogation à l'agrément communautaire Escargot,Exempted establishments from EU approval agreement-snails,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRESC_VAL2.txt,10/10/15
Yes,XI - Production Grenouilles,Etablissements de production de grenouilles,Frogs' legs processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPCGRC_PRV.pdf,10/10/15
Yes,XI - Production Grenouilles,Etablissements de production de grenouilles,Frogs' legs processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPCGRC_PRV.txt,10/10/15
No,XII - Collectes graisses,,,,10/10/15
Yes,XII - Production graisses,Production de graisses animales fondues,Rendered animal fats and greaves processing pla,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANGREXPR_PRV.pdf,10/10/15
Yes,XII - Production graisses,Production de graisses animales fondues,Rendered animal fats and greaves processing pla,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANGREXPR_PRV.txt,10/10/15
Yes,XIII - Production boyaux,Production de boyaux,"Treated stomachs, bladders and intestines processing plant",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGR_ESVEBO_PRV.pdf,10/10/15
Yes,XIII - Production boyaux,Production de boyaux,"Treated stomachs, bladders and intestines processing plant",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGR_ESVEBO_PRV.txt,10/10/15
Yes,XIV - Collecte gélatine,Etablissements intermédiaires de la filière gélatine destinée à la consommation humaine,Collection center and tanneries supplying raw materials for the production of gelatine and collagen,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AUTETBGELAT_PRV.pdf,10/10/15
Yes,XIV - Collecte gélatine,Etablissements intermédiaires de la filière gélatine destinée à la consommation humaine,Collection center and tanneries supplying raw materials for the production of gelatine and collagen,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AUTETBGELAT_PRV.txt,10/10/15
Yes,XIV - Production gélatine,Production de gélatine et de collagène,Gelatine and collagen processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANGELAT_PRV.pdf,10/10/15
Yes,XIV - Production gélatine,Production de gélatine et de collagène,Gelatine and collagen processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANGELAT_PRV.txt,10/10/15
No,XV - Production Collagène,,,,10/10/15
No,XV - Production Collagène,,,,10/10/15
No,XV – Collecte Collagène,,,,10/10/15
No,XV – Collecte Collagène,,,,10/10/15
