Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
2140;40862688;Emmi Käse AG, Affinage;Mühlestrasse 2;7302;Landquart GR;WM; PP (IX);;;
2141;40130528;Bernasconi SA;Via Industria 11;6814;Cadempino TI;RW, WM;;;;
2142;67066957;Cetra Alimentari SA Prodotti Gastronomici;Via Cantonale ;6805;Mezzovico TI;RW, WM;;;;
2152;64845909;Fromajoie S.A.  Produits régionaux;Oeuches Domont 1;2942;Alle JU;CS, RW;;;;
2158;64362887;Best Gourmet Aktiengesellschaft, Balzers, Filiale di Gravesano - Via Grumo;via Grumo 10;6929;Gravesano TI;RW, WM; PP (IX);;;
2159;40498093;Societa Anonima Luigi Ghioldi e Ci.;Via Cantonale 1;6855;Stabio TI;CS, RW, WM; WM (VIII);;;
216;52056223;Hügli Nährmittel AG;Bleichestrasse 31;9323;Steinach SG;CS, RW; PP (VI),  PP (VIII),  MP (VIII),  PP (IX),  PP (X),  PP (XII),  PP (XIV),  PP (XV);;;
2164;30160417;Käserei Wangen;Mühlestrasse 21;8855;Wangen SZ SZ;RW;;;;
224;1805;Hilcona AG;Bendererstrasse 21;9494;Schaan FL;CS, RW; PP (VI),  PP (VIII);;;
225;52292687;Haco AG Heil-, Nähr- & Genussmittel;Worbstrasse 262;3073;Gümligen BE;RW, WM; PP (VI);;;
227;74177601;Gustav Spiess AG Fleischprodukte;Kübach ;9442;Berneck SG;CS, RW; CP (I),  MM (V),  MP (V),  PP (VI),  PP (XII),  PP (XIII);;;
228;52137563;Suttero, Ernst Sutter AG;Schlachthofstrasse 20;9200;Gossau SG SG;CS, RW; CP (I),  MM (V),  MP (V),  PP (VI),  PP (XII);;;
2402;74711929;Emmi Fondue AG;Bahnhofstrasse 32;3550;Langnau im Emmental BE;RW, WM; PP (IX);;;
2406;51887642;Emmi Frischprodukte AG;Milchstrasse 9;3072;Ostermundigen BE;RW, WM; PP (IX);;;
2413;52083955;Cremo S.A. Milch & Milchprodukte;Schwäbisstrasse 4;3613;Steffisburg BE;RW, WM; PP (IX);;;
2414;41408028;Nestec S.A. Nestlé PTC Konolfingen;Nestléstrasse 3;3510;Konolfingen BE;RW, WM; PP (IX);;;
2423;52031716;Cremo S.A. Centrale Laitière de Lucens;Zone industrielle ;1522;Lucens VD;RW, WM; PP (IX);;;
2424;70743747;Cremo S.A. Fromagerie de Lucens;Zone industrielle ;1522;Lucens VD;RW, WM; PP (IX);;;
2425;52031344;Cremo S.A. Produits Laitiers;Chemin du Petit-Flon 21;1052;Le Mont-sur-Lausanne VD;CS, RW, WM; PP (IX);;;
2426;52008586;Baer AG;Bahnhofstrasse 67;6403;Küssnacht am Rigi SZ;RW, WM; PP (IX);;;
2433;51984565;Bioforce AG Roggwil TG Pharma- & Reformprodukte;Grünaustrasse ;9325;Roggwil TG TG;RW; PP (IX);;;
2436;52121390;Nestlé Suisse S.A. Division Surgeles et Glaces;Blumenfeldstrasse 15;9403;Goldach SG;CS; PP (IX),  PP (X);;;
2437;50208808;Fuchs + Co. AG Molkerei;Greinastrasse 10;9400;Rorschach SG;RW; PP (IX);;;
2439;52108693;Nestlé Suisse S.A. Fabrik Konolfingen Milchprodukte; ;3510;Konolfingen BE;RW, WM; PP (IX);;;
2442;51990600;LATI SA;Via Gorelle ;6592;S. Antonino TI;RW, WM; PP (IX);;;
2443;65227132;Milco SA;Route de Bulle  41;1696;Vuisternens-en-Ogoz FR;RW; PP (IX);;;
2446;73980805;Gebr. Eberle AG Gossau Spezialitäten;Kühlhausstr. 10;9200;Gossau SG SG;RW; PP (IX);;;
