Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
63679378;63679378;Erwin Schenk Lohn-Metzgerei;Bänikon ;8514;Amlikon-Bissegg TG;SH;;B, C, O, P;;
63729112;63729112;RAESS BERNHARD;Bahnhofstrasse ;3940;Steg VS;CP;;B, C, O, P, S;;
63840548;63840548;Schlachtanlage Verb. Konolfingen;Katzengässli 1;3510;Konolfingen BE;SH; SH (III);B, C, O, P, S;;
63887420;63887420;Ernst Sutter AG, Suttero - Depot Rothrist;Juraweg  30;4852;Rothrist AG;CP; RW (0);B, O, P;;
64118595;64118595;Ernst Sutter SA, Fleischwarenfabrik Viandes en Gros;Av. du Chablais  18;1008;Prilly VD;CP; CS (0),  RW (0),  WM (0);B, O, P;;
64147748;64147748;Heinrich Rohrer;Hofwies 1940;9475;Sevelen SG;SH;;B, C, O, P, S;;
64226389;64226389;Metzgerei Kast GmbH;Bahnhofstrasse 6;9430;St. Margrethen SG SG;SH;;B, C, O, P, S;;
64239126;64239126;Metzgerei Schaniel;Stradung ;7460;Savognin GR;SH; SH (III);B, C, O, P, S;;
64272406;64272406;Heinzer Metzgerei GmbH;Hauptstrasse 23;6436;Muotathal SZ;SH, CP; CP (II),  PP (VI);B, C, O, P;;
64319106;64319106;Schlachtanlage der Region Neu- & Obertoggenburg;Ebnaterstrasse 42;9642;Ebnat-Kappel SG;SH;;B, C, O, P, S;;
64399185;64399185;I Salumi del Pin SA, Salumificio;Via Stella 14;6850;Mendrisio TI;CP; RW (0),  MP (V);B, P, S;;
64400191;64400191;M. Hauswirth & R. Bratschi Buremetzg AG;Alte Lauenenstrasse 2;3780;Gstaad BE;SH;;B, C, O, P;;
64428066;64428066;SILA AG;Gewerbestrasse 4;446;Buckten BL;SH;;B, C, O;;
64503975;64503975;Dorfmetzg Wüthrich Heinz;Dorfstr. 52;3534;Signau BE;SH;;B, C, O, P;;
64702269;64702269;appenzeller fleisch und feinkost ag, rufag;Unterschlatt 469;9050;Appenzell AI;SH; SH (II),  SH (III),  CP (IV);B, C, O, P, S;;
64739269;64739269;Cooperative d'Exploitation de l'Abattoir Régional de Rolle & Environs (CARRE);Route du Creux-du-Mas ;1180;Rolle VD;SH, CP; SH (III),  CP (III);B, C, O, P, S;;
64739269;64739269;Sociéte d'abattage de Rolle;Chemin Des Esserts 1;1185;Mont-sur-Rolle VD;SH;;;;
64842232;64842232;Schlachthaus Grava Luigino Maffei; ;7452;Cunter GR;SH; SH (III);B, C, O, P, S;;
64852267;64852267;Urs Thürig & Ernst Weber Bauernmetzgerei;Rickenstrasse ;8735;St. Gallenkappel SG;SH;;B, C, O, P, S;;
64921821;64921821;Abattoirs de Martigny- Borgeaud;Grandes Maresches ;1920;Martigny VS;SH;;B, C, O, P, S;;
64960113;64960113;Soc. Coop. des Abattoirs;Rte De Gryon 6 ;1880;Bex VD;SH;;;;
65078572;65078572;Abattoir de la Valle de Joux; ;1344;L'Abbaye VD;SH;;;;
65147723;65147723;Schlachthof Hans Felder AG Fleischwarenproduktion;Grundstrasse 5;6430;Schwyz SZ;SH;;B, O, P;;
65292299;65292299;Hort Metzgerei;Muhlernstrasse 238;3098;Schliern b. Köniz BE;SH;;B, C, O, P;;
65317079;65317079;Kurt Kym Bure-Metzg Metzgerei;Riburgerstrasse 35;4313;Möhlin AG;SH;;B, C, O, P, S;;
65350977;65350977;Schlachtanlage Bödemli AG;Turbachstrasse ;3780;Gstaad BE;SH; SH (II),  SH (III);B, C, O, P, S;;
65372310;65372310;Metzgerei Philipp Breu;Hirschgasse 9;8219;Trasadingen SH;SH;;B, C, O, P;;
65378967;65378967;Pius von Rotz;Schlachthaus Ei ;6060;Sarnen OW;SH;;B, C, O, P;;
65395213;65395213;Schlachthof Mittelbünden AG;Unter Realta ;7408;Cazis GR;SH; SH (III);B, C, O, P, S;;
65414232;65414232;Abattoirs de Moutier & environs SA;Rue de Soleure 20;2740;Moutier BE;SH;;B, C, O, P, S;;
65519400;65519400;Ogiz S. A.;Rue des Uttins 36;1400;Yverdon-les Bains VD;CP; CS (0),  RW (0),  WM (0),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI),  PP (XII);B, C, O, P, S;;
65570831;65570831;Claudia Schüller-Bürgi Pferdemetzgerei;Binningerstrasse 169;4123;Allschwil BL;SH;;S;;
65695189;65695189;Galkovski Ivan, Metzgerei;St. Gallerstrasse 7;9032;Engelburg SG;SH;;B, C, O, P, S;;
65719866;75467046;COVEDIS SA; ;1010;Lausanne VD;CP; CS (0),  RW (0),  DC (VII),  PP (VIII);B;;
65754310;65754310;Mazlaria Vrin, L. Tomaschett Metzgerei; ;7149;Vrin GR;SH; SH (III);B, C, O, P, S;;
65878942;65878942;Abattoirs Boucherie Carnata Sàrl;Sagnette 10;2710;Tavannes BE;SH;;B, C, O, P, S;;
65880234;65880234;Macelleria-Salumeria Boldini;Piazza 41;6535;Roveredo GR GR;SH; SH (III);B, C, O, P, S;;
65907179;65907179;Dorfmetzg Escholzmatt / Marbach GmbH;Dorfstrasse  32;6196;Marbach LU LU;SH;;B, C, O, P, S;;
66108846;66108846;Schenk Thomas Metzgerei;- ;3036;Detligen BE;SH;;B, C, O, P, S;;
66140279;66140279;Schlachtanlage Frutigland Fleisch AG;Kanderspitz ;3714;Frutigen BE;SH; SH (III);B, C, O, P, S;;
66174241;66174241;Boucherie Blanc SA;Grand-Rue 64;1618;Châtel-St-Denis FR;CP; CP (II),  CP (III),  MM (V),  MP (V),  PP (VI);B, C, O, P, S;;
66177792;79348743;Prime Buffalo AG;Burgstrasse 370;5044;Schlossrued AG;SH; SH (II),  SH (III);B, C, O, P, S;;
66218967;66218967;Adler-Metzg Philipp Krucker;Dorf 4;9527;Niederhelfenschwil SG;SH;;B, C, O, P, S;;
66303203;66303203;Locher Marcel;Metzgerei ;9043;Trogen AR;SH;;B, C, O, P, S;;
66312784;66312784;Schlachtlokal Hatecke;Cho D'Punt 52;7503;Samedan GR;SH; SH (III);B, C, O, P, S;;
66498705;66498705;Hof Metzgerei Wilhelm Schlacht- & Fleischverarbeitung;Hofweg 9;7278;Davos Monstein GR;SH; SH (III);B, C, O, P, S;;
66500516;66500516;Serfrè AG;via Campagna Adorna 9;6850;Mendrisio TI;CP; CS (0),  CP (II),  CP (III),  PP (VI),  WM (VIII);B, O, P, S;;
66501258;66501258;Schlacht- und Verarbeitungs- genossenschaft Schams (SVS) Metzga Viamala Pitogna; ;7440;Andeer GR;SH; SH (III);B, C, O, P, S;;
66515549;66515549;Fritz Gysin Metzgerei;Kirchweg 1;4448;Läufelfingen BL;SH;;B, C, O, P;;
66519302;66519302;Roland Burger Metzgerei;Sandeggstrasse 2;8560;Märstetten TG;SH;;B, C, O, P;;
66612571;66612571;Galley François;Boucherie ;1730;Ecuvillens FR;SH, CP;;B, C, O, P;;
66614694;66614694;Metzgerei Krieg;Erlenweg 6;3422;Kirchberg BE BE;SH;;B, C, O, P;;
66648871;66648871;Spezialitäten-Metzgerei, Markus Bolliger;Aarauerstrasse 3;5734;Reinach AG AG;SH;;B, C, O, P, S;;
66679251;66679251;Blöchlinger-Wyss Susanne;Höf 1;7313;St. Margrethenberg SG;SH;;B, C, O, P, S;;
66831537;66831537;Werner Schönholzer Geflügelfarm, Geflügelhandel;Sennhus ;8820;Wädenswil ZH;SH; SH (II),  GHE (IV);C, O;;
66875801;66875801;Skin Packing S.A.;ZI les Avouillons 20;1196;Gland VD;CP; CS (0),  RW (0),  CP (II),  CP (III),  MP (V),  PP (VI);B, C, O, P, S;;
67034363;67034363;Frutigland Fleisch AG;Alte Str. ;3713;Reichenbach im Kandertal BE;SH; SH (III);B, C, O, P;;
67385883;67385883;Micarna SA;Ch. Du Dévent ;1024;Ecublens VD;CP; CS (0),  RW (0),  WM (0),  CP (II),  MP (V);B, C, O, P;;
67519843;67519843;Metzgerei Lamm Türkel GmbH;Kirchstrasse 5;8580;Amriswil TG;SH;;B, C, O, P;;
67627726;67627726;Ürmetzg AG;Giessenstrasse 44;6460;Altdorf UR UR;SH;;B, C, O, P;;
67677156;69555273;Käppeli & Rogenmoser Delikatessen AG;Marktgasse 16;6340;Baar ZG;CP; CP (II),  CP (III),  CP (IV);B, C, O, P, S;;
67691538;67691538;Lippuner Stüdtlimetzg AG;Wiedenstrasse 19;9470;Buchs SG SG;SH;;B, C, O, P, S;;
67720089;67720089;Arnold  Heiri und Sohn;Metzgerei/Fleischtrocknerei ;6467;Schattdorf UR;SH;;B, C, O, P;;
67723624;67723624;Genossenschaft Schlachthaus Sense Oberland;Sitenvorsass 853;1716;Plaffeien FR;SH, CP;;B, C, O, P, S;;
67742145;65986542;Fleisch und Brau AG;Dorf 2;1717;St. Ursen FR;SH;;B, C, O, P;;
67765142;67765142;Franz Trütsch & Sohn, Kronenmetzg;Hauptstrasse 23;6418;Rothenthurm SZ;SH;;B, C, O, P;;
67782635;67782635;Landmetzg Hinterland GmbH;Mööslimatten 16;6218;Ettiswil LU;SH;;B, C, O, P;;
68085888;68085888;Genosschenschaft Metzgerei Safiental; ;7107;Safien Platz GR;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
68272108;68272108;Boucherie-Charcuterie-Traiteur Jean-Jacques Jemmely;Rue du Collège 11;1260;Nyon VD;CP; CS (0),  RW (0),  CP (II),  CP (III),  MP (V),  PP (VI);B, C, O, P, S;;
68345604;68345604;Oberholzer Paul jun.;Zürcherstrasse 1;8730;Uznach SG;SH;;B, C, O, P, S;;
68345646;68345646;Roland Diethelm-Zurfluh;Rietstrasse 10;9436;Balgach SG;SH;;B, C, O, P, S;;
68593094;68593094;Hausschlachtanlage Degersheim und Umgebung AG;Techenwies ;9116;Wolfertswil SG;SH;;B, C, O, P, S;;
68684060;68684060;Michael Zett Metzgerei;Hirschlenstrasse 5;8864;Reichenburg SZ;SH;;B, C, O, P;;
68687454;68687454;VVK Wohlen, Schlachtanlage Birchi;Birchistrasse  20;3049;Säriswil BE;SH;;B, C, O, P, S;;
68742246_2;68742246;Schnegg Nicolas;Rue Centrale 16;2738;Court BE;SH; SH (II);B, C, O, P, S;;
68762677;68762677;Ruedi Weber;Dorfstrasse 13;8512;Thundorf TG;SH;;B, C, O, P;;
68886628;68886628;Abattoirs Simon Rouiller SA;ch. des Abattoirs 6;1627;Vaulruz FR;SH, CP; SH (III),  CP (III),  MM (V),  PP (VI);B, C, O, P, S;;
69098506;69098506;Ernst Sutter SA Depot Ticino;al Fiume 3;6930;Bedano TI;CP; CS (0),  WM (0),  CP (II),  CP (III),  MP (V);B, P;;
69169811;69169811;Interessen Genossenschaft Fleisch vom Reiat;Am Rahn  36;8242;Bibern SH SH;SH;;B, C, O, P, S;;
69234685;69234685;Küng-Wäny Urs; ;3754;Diemtigen BE;SH;;B, C, O, P, S;;
69328914;69328914;O. Braunwalder AG Fleisch- & Wurstproduktion;Schützenmattweg 37;5610;Wohlen AG AG;SH;;B, C, O, P, S;;
69376504;69376504;Metzgerei Stauffer;Burgdorfstrasse 13A ;3309;Kernenried BE;SH;;B, C, O, P;;
69432478;69432478;Macelleria Branchi Michele;Presa Da Sot ;7743;Brusio GR;SH; SH (III);B, C, O, P, S;;
69519825;69519825;Schlachthof Zermatt; ;3920;Zermatt VS;SH;;B, C, O;;
69562265;69562265;Felix Erb;Hinterdorfstrasse 231;5072;Oeschgen AG;SH;;B, C, O, P, S;;
69578396;69578396;H Food SA;Rue Ferrier 19;1202;Genève GE;CP;;B, O;;
69834275;69834275;Ulrich Zollinger Metzgerei;Dielsdorferstrasse 2;8173;Neerach ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
69957531;69957531;Gerber Jakob & Marianne;Oberei/Fraumatt ;3618;Süderen BE;SH;;B, C, O, P, S;;
70147732;70147732;Abattoir Bagnes;Place Centrale ;1934;Le Châble VS VS;SH;;B, C, O, P, S;;
70147732;70147732;Abattoir Bagnes;Place Centrale ;1934;Le Châble VS VS;SH; SH (III);B, C, O, P, S;;
70147774;70147774;Abattoir Michel Krieg;Le Moulin-Navilot 1;2523;Lignières NE;SH;;B, P;;
70147795;70147795;Abattoir d'Orsières;Abattoir d'Orsières, par Chambovey K ;1937;Orsières VS;SH;;B, C, O, P, S;;
70147800;70147800;Abattoir Commune de Montricher;Ruelle Du Devenchat 11 ;1147;Montricher VD;SH;;;;
70147816;70147816;Abattoir Communal;Ch. De La Villaire 8 ;1040;Echallens VD;SH;;;;
70147821;70147821;Administration Communale;Au College ;1088;Ropraz VD;SH;;;;
70147837;70147837;Abattoir le Vergnolet;Les Moilles ;1070;Puidoux VD;SH;;;;
70147842;70147842;Abattoir Communal des Ouges;Les Chabloz ;1660;Les Moulins VD;SH;;;;
70147910;70147910;Schlachthauskoorperation Kemment;Alte Post ;8566;Ellighausen TG;SH;;B, C, O, P;;
70147926;70147926;Schlachthauskoorperation Pfyn;Poststrasse 11;8505;Pfyn TG;SH;;B, C, O, P;;
70147931;70147931;Schlachtgenossenschaft Friltsche;Dorfstrasse ;9504;Friltschen TG;SH;;B, C, O, P;;
70147947;70147947;Schlachthaus;Dorfstrasse 165;5467;Fisibach AG;SH;;B, C, O, P, S;;
70147952;70147952;Schlachtlokal;Hirsackerstrasse 2;5272;Gansingen AG;SH;;B, C, O, P, S;;
70147968;70147968;Schlachthaus Wittnau; ;5064;Wittnau AG;SH;;B, C, O, P, S;;
70147973;70147973;Schlachtanlage Seengen;Hubpüntenstrasse ;5707;Seengen AG;SH;;B, C, O, P, S;;
70147989;70147989;Odermatt Kurt;Stägmatt 3;4314;Zeiningen AG;SH;;B, C, O, P, S;;
70148008;70148008;Schlachthaus Thalheim; ;5112;Thalheim AG AG;SH;;B, C, O, P, S;;
70148013;70148013;Notschlachtlokal Bad Ragaz; ;7310;Bad Ragaz SG;SH;;B, C, O, P, S;;
70148029;70148029;Notschlachtlokal Mels;Bachstrasse ;8887;Mels SG;SH;;B, C, O, P, S;;
70148034;70148034;Notschlachtanlage Gams; ;9473;Gams SG;SH;;B, C, O, P, S;;
70148055;70148055;Notschlachtlokal Wattwil; ;9630;Wattwil SG;SH;;B, C, O, P, S;;
70148060;70148060;Krasniqi Dashmir;Maltnastrasse 1;8890;Flums SG;SH;;B, C, O, P, S;;
70148076;70148076;Notschlachtlokal Rossrüti; ;9512;Rossrüti SG;SH;;B, C, O, P, S;;
70148081;70148081;Notschlachtlokal Eschenbach; ;8733;Eschenbach SG SG;SH;;B, C, O, P, S;;
70148097;70148097;Notschlachtlokal Mörschwil; ;9402;Mörschwil SG;SH;;B, C, O, P, S;;
70148102;70148102;Notschlachtlokal Stadt Altstätte;Hinderdammstrasse 4483;9450;Altstätten SG SG;SH;;B, C, O, P, S;;
70148118;70148118;Dietschi Marianus Metzgerei;Watt 4;9463;Oberriet SG SG;SH;;B, C, O, P, S;;
70148123;70148123;Notschlachtlokal Wartau; ;9476;Weite SG;SH;;B, C, O, P, S;;
70148139;70148139;Notschlachtlokal Bütschwil;Churfirstenweg 12;9533;Kirchberg SG SG;SH;;B, C, O, P, S;;
70148144;70148144;Schlachthaus Klosters; ;7250;Klosters GR;SH; SH (III);B, C, O, P, S;;
70148186;70148186;Schrofer Pius;Karlihof 2;7203;Trimmis GR;SH; SH (III);B, C, O, P, S;;
70148191;70148191;Schlachthof Furna; ;7232;Furna GR;SH; SH (III);B, C, O, P, S;;
70148207;70148207;Regionale Notschlachtanlage & Tierkörpersammelstelle Mittelland;Untere Au  647;9055;Bühler AR;SH; SH (II),  SH (III),  CP (IV);B, C, O, P, S;;
70148212;70148212;Schlachthaus der  Gemeinde Schleitheim Schlachtanlage;Schwarzwaldstrasse 5;8226;Schleitheim SH;SH;;B, C, O, P, S;;
70148228;70148228;Gemeindeschlachthaus Rüdlingen;In jungen Eichen ;8455;Rüdlingen SH;SH;;B, C, O, P;;
70148233;70148233;Gemeindeschlachthaus Wilchingen;Bettengasse 72;8217;Wilchingen SH;SH;;B, C, O, P, S;;
70148249;70148249;Notschlachtlokal Anwil;Horstmattweg 96;4469;Anwil BL;SH;;B, C, O, P;;
70148254;70148254;NS Arisdorf u.U.;Hauptstrasse 72;4422;Arisdorf BL;SH;;B, C, O, P;;
70148275;70148275;Notschlachtlokal Bennwil;Spittelerweg 1;4431;Bennwil BL;SH;;B, C, O, P;;
70148280;70148280;Notschlachtlokal Buus;Hemmikerstrasse 1;4463;Buus BL;SH;;B, C, O, P;;
70148296;70148296;Notschlachtlokal Eptingen;Leisenstrasse 58;4458;Eptingen BL;SH;;B, C, O, P;;
70148322;70148322;Notschlachtlokal Känerkinden ;Hauptstrasse 30;4447;Känerkinden BL;SH; SH (II);B, C, O, P;;
70148338;70148338;Notschlachtlokal Langenbruck;Ausserdorf 1;4438;Langenbruck BL;SH;;B, C, O, P;;
70148364;70148364;Notschlachtlokal Rünenberg;Schulstrasse 61;4497;Rünenberg BL;SH;;B, C, O, P;;
70148390;70148390;Notschlachtlokal Wenslingen;Hauptstrasse 1;4493;Wenslingen BL;SH;;B, C, O, P;;
70148448;70148448;Schlachtanlage Büsserach;Industriestrasse 11;4227;Büsserach SO;SH; SH (II),  SH (III);B, C, O, P;;
70148469;70148469;Schlachtlokal Limbachtal zhd. Herrn;Hauptstrasse 31;4588;Oberramsern SO;SH; SH (II),  SH (III);B, C, O, P;;
70148474;70148474;Regionales Notlokal Stüsslingen;Hauptstrasse 50;4655;Stüsslingen SO;SH; SH (II),  SH (III);B, C, O, P;;
70148495;70148495;Schlachtanlage Oensingen;Hauptstrasse 84;4702;Oensingen SO;SH; SH (II),  SH (III);B, C, O, P;;
70148516;70148516;Schlachtanlage Welschenrohr;Dünnernstrasse 314;4716;Welschenrohr SO;SH; SH (II),  SH (III);B, C, O, P;;
70148542;70148542;Schlachtanlage Mümliswil;Förstlenweg 582;4717;Mümliswil SO;SH; SH (II),  SH (III);B, C, O, P;;
70148558;70148558;Abattoir des Marais;Rte de Lully post restante ;1470;Estavayer-le-Lac  FR;SH;;B, C, O, P, S;;
70148605;70148605;Stachel Josef jun.;Firststrasse 7;8835;Feusisberg SZ;SH;;B, C, O, P;;
70148626;70148626;Notschlachthaus ZVT; ;6060;Sarnen OW;SH;;B, C, O, P;;
70148668;70148668;VVK Zimmerwald-Englisberg;- ;3086;Zimmerwald BE;SH;;B, C, O, P, S;;
70148673;70148673;VVK Rüeggisberg; ;3088;Rüeggisberg BE;SH;;B, C, O, P, S;;
70148689;70148689;VVK Köniz VI Dorf Schliern;KG Ausserhaus/Mengestorf ;3145;Niederscherli BE;SH;;B, O;;
70148694;70148694;Schlachtbetrieb Ersigen;Gemeinde ;3423;Ersigen BE;SH;;B, C, O, P;;
70148720;70148720;VVK Reutigen;Moos ;3647;Reutigen BE;SH;;B, C, O, P;;
70148736;70148736;VVK Lenk im Simmental;Lenkstrasse ;3775;Lenk im Simmental BE;SH;;B, C, O, P;;
70148741;70148741;Schlachtanlage Habkern;Gruebi ;3804;Habkern BE;SH;;B, C, O, P;;
70148757;70148757;Gemeindeschreiberei;Briggmättli ;3816;Lütschental BE;SH;;B, C, O;;
70148762;70148762;Schlachtanlage Grindelwald;z.H. Bauverwaltung ;3818;Grindelwald BE;SH; SH (II),  SH (III);B, C, O, P;;
70148778;70148778;Viehversicherungskasse Schlachthof;Urbachseystrasse 31a ;3860;Meiringen BE;SH;;B, C, O, P;;
70148783;70148783;Bäuertgemeinde Guttannen;Schlachthof ;3864;Guttannen BE;SH;;B, C, O, P;;
70148804;70148804;Kundenmetzgerei Bützberghof;Bützberg 2;4917;Busswil b. Melchnau BE;SH; SH (III);B, C, O, P;;
70148825;70148825;Notschlachthaus-Verband;Walke ;4938;Rohrbach BE;SH; SH (III);B, C, O, P, S;;
70148830;70148830;VVK Hasliberg;Hofstatt ;6083;Hasliberg Hohfluh BE;SH;;B, C, O, P;;
70148846;70148846;Schlachtlokalverband Brenzikofen;Ringstr. 9;3671;Brenzikofen BE;SH;;B, C, O, P;;
70148851;70148851;VVK Uetendorf;Birkenweg 17;3661;Uetendorf BE;SH;;B, C, O, P;;
70148867;70148867;Schlachtbetrieb Schenk;Mitteldorf 18;3283;Kallnach BE;SH;;B, O, P;;
70148872;70148872;Schlachtanlage Raft;Gemeinde Sigriswil ;3655;Sigriswil BE;SH;;B, C, O, P, S;;
70148888;70148888;Schlachtanlage Heiligenschwendi;Schwendi 308;3625;Heiligenschwendi BE;SH;;B, C, O, P;;
70148893;70148893;Schlachthaus Erlenbach im Simmental;Markthalle Erlenbach ;3762 ;Erlenbach im Simmental BE;SH;;B, C, O, P;;
70148914;70148914;Gemeindeschreiberei;Moosweid ;3715;Adelboden BE;SH; SH (III);B, C, O, P;;
70148935;70148935;Schlachtanlage Cholbenmoos;Cholbenmoos ;4538;Oberbipp BE;SH; SH (III);B, C, O, P, S;;
70148940;70148940;Schlachtlokal;Restaurant Linde ;3664;Burgistein Dorf BE;SH;;B, C, O, P;;
70148977;70148977;Einwohnergemeinde Kandersteg;Risetistrasse ;3718;Kandersteg BE;SH;;B, C, O, P;;
70148998;70148998;Fahrni-Brunner Hansjürg;Reutegraben ;3531;Oberthal BE;SH;;B, C, O, P;;
70149001;70149001;Schlachtlokal Aeugst;Pfarrhausweg/Gmeindschür  ;8914;Aeugst ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149085;70149085;Hans und Wurst Naturmetzg GmbH;Klosterplatz ;8462;Rheinau ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149090;70149090;Gemeinde Kleinandelfingen Schlachthaus;Weiherstrasse ;8461;Oerlingen ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149106;70149106;Gemeinde Unterstammheim Schlachthaus;Frauwiesen ;8476;Unterstammheim ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149111;70149111;Gemeinde Eglisau Schlachtlokal;Werkhaus Stadtbergstrasse ;8193;Eglisau ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149127;70149127;Gemeinde Glattfelden Schlachthaus;Gottfried-Keller-Strasse ;8192;Glattfelden ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149132;70149132;Schlachtlokal Oberembrach;Rebbergstrasse 2;8425;Oberembrach ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149174;70149174;Schlachtlokal Landw. Genossenschaft;Lielistrasse ;8904;Aesch ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149200;70149200;Milchproduzentengenossenschaft Rüti;Goldbachstrasse 20;8630;Rüti ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149221;70149221;Schlachtlokal Stocker Paul;Müsli ;8824;Schönenberg ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149237;70149237;Küsnachterberg und Umgebung Verein Schlachtokal;Wangen ;8127;Forch ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149242;70149242;Viehhalterverein Uetikon;Chlidorfstrasse ;8707;Uetikon am See ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149258;70149258;Verein Regionalschlachthaus Agasul;Luckhauserstrasse 1;8308;Illnau ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149263;70149263;Sennereigenossenschaft Fehraltorf Schlachthaus;Sennhüttenweg ;8320;Fehraltorf ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149279;70149279;Gemeinde Hittnau Schlachtlokal;Werkhof, Jakob-Stutz-Strasse 48;8335;Hittnau ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149331;70149331;Schlachthausverein Hofstetten;Haldenhof ;8354;Hofstetten ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149347;70149347;Gemeinde Neftenbach;Schaffhausenstrasse 115;8413;Aesch (Neftenbach) ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149373;70149373;Schlachtanlage Bauernverein Gossau;Berghofstrasse ;8625;Gossau ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70149478;70149478;Politische Gemeinde Schlachtlokal Basadingen;Unterdorf 1;8254;Basadingen TG;SH;;B, C, O, P;;
70149530;70149530;Notschlachthaus Nesslau;Hauptstrasse 24;9650;Nesslau SG;SH;;B, C, O, P, S;;
70149546;70149546;Notschlachthaus Schübelbach;Haslenstrasse ;8862;Schübelbach SZ;SH;;B, C, O, P;;
70149567;70149567;VVK Oberwil im Simmental;Hüpbach ;3765;Oberwil im Simmental BE;SH;;B, C, O, P;;
70149640;70149640;Regionales Notschlachtlokal ''Hinteres Frenkental'' Ziefen;Hauptstrasse 103;4417;Ziefen BL;SH;;B, C, O, P, S;;
70149682;70149682;Gemeinde Ramsern Schlachthaus Schlachtanlage;Hanfgartenstrasse 8;8262;Ramsen SH;SH;;B, C, O, P, S;;
70215481;70215481;Notschlachtlokal Bauma;Heinrich Gujerstrasse 31;8494;Bauma ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70215518;70215518;Metzgerei Zimmermann AG;Rössligasse 18;4460;Gelterkinden BL;SH;;B, C, O, P;;
70215523;66575684;Kundenmetzgerei Andrist;Dorfstrasse 46;4452;Itingen  BL;SH;;B, C, O, P;;
70218147;70218147;Abattoir de Loëx Sarl;Route de Loëx 157;1233;Bernex GE;SH;;B, C, O, P;;
70218152;70218152;ARA Engelberg, Robert Schleiss;Engelbergerstrasse 125;6390;Engelberg OW;SH;;B, C, O, P;;
70218173;70218173;Notschlachthaus Schwyz Kaltbach;Kaltbach ;6430;Schwyz SZ;SH;;B, C, O, P;;
70218215;70218215;Gemeinde Freienstein-Teufen Schlachthaus;Oberteufenstrasse ;8428;Teufen ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70218257;70218257;Verein Regionalschlachthaus;Riedmühlestrasse 2;8474;Dinhard ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70218262;70218262;Schlachthausgem. Dägerlen-Hettli;Dorfstrasse ;8471;Oberwil ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70218325;70218325;Schlachthaus Stengeli;Stengli 8;3150;Schwarzenburg BE;SH;;B, C, O, P, S;;
70218351;70218351;Hofmann GmbH;Bielstrasse 49a ;3250;Lyss BE;SH; SH (II);B, C, O, P;;
70218372;70218372;Schlachtanlage Schwellenkorpo.- Aare;Mattenweg ;3855;Brienz BE BE;SH;;B, C, O, P;;
70218414;70218414;Gemeinde Suraua, Schlachtanlage, Uors; ;7114;Uors (Lumnezia) GR;SH; SH (III);B, C, O, P, S;;
70218461;70218461;Gemeindekanzlei Mandach Notschlachthaus;Hauptstrasse 170;5318;Mandach AG;SH;;B, C, O, P, S;;
70218482;70218482;Abattoir communal;rte de Palézieux 136;1618;Châtel-St-Denis FR;SH, CP;;B, C, O, P, S;;
70218681;70218681;Schlachtanlage Nussbaum;Mettleneggen ;3665;Wattenwil BE;SH; SH (II),  SH (III);B, C, O, P, S;;
70218791;70218791;Notschlachtlokal Andwil;Lätschenstrasse 7;9204;Andwil SG SG;SH;;B, C, O, P, S;;
70218812;70218812;Commune de Carrouge;Rue Du Village ;1084;Carrouge VD VD;SH;;;;
70218990;70218990;Fischbacher Buremetzg AG;Lerchenfeld 2014;9601;Lütisburg Station SG;SH;;B, C, O, P, S;;
